"IPAddress","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","LocationLatitude","LocationLongitude","rid","response_wave_ID","missing_demographics"
"174.235.137.112","R_29nLY4liX70F2aa",NA,NA,NA,30.0121002197266,-90.1658020019531,"5f872d6d-81c0-4bb3-f8e6-50a290845598","SV_0xlqWlOfO10wuYl",0
"209.17.219.66","R_0CKCmXTd61TXEGJ",NA,NA,NA,37.7510070800781,-97.8219985961914,"5f87312d-8a88-a35b-e7a4-34aac833ade8","SV_0xlqWlOfO10wuYl",0
"45.30.161.113","R_wM3bebVYRmMgYqR",NA,NA,NA,33.0579986572266,-80.0101013183594,"5f872dde-4158-4bf0-a766-88202e5a33c4","SV_0xlqWlOfO10wuYl",0
"99.23.243.205","R_ekUOJzt2y9lOhcB",NA,NA,NA,34.1526031494141,-118.266998291016,"5f873266-8906-662a-76ef-f675aa61ceb4","SV_0xlqWlOfO10wuYl",0
"100.16.214.228","R_2vcgR2UypVtlHiF",NA,NA,NA,39.3860015869141,-76.5400009155273,"5f873419-141e-0eb2-8de0-2040e4d139df","SV_0xlqWlOfO10wuYl",0
NA,"R_27CM1dqMXuCOwrz",NA,NA,NA,NA,NA,"5f873805-3d84-c9a3-2811-92ae6adaf798","SV_0xlqWlOfO10wuYl",0
"45.41.132.53","R_1dtNfuhM7rlPek7",NA,NA,NA,37.7510070800781,-97.8219985961914,"5f873856-85b0-fd40-1f50-fa0bb8805b6a","SV_0xlqWlOfO10wuYl",0
"209.161.88.9","R_qwIas68X9AVK7Nn",NA,NA,NA,37.7510070800781,-97.8219985961914,"5f872d5b-ab03-f2a6-7bd7-71844c6e15ba","SV_0xlqWlOfO10wuYl",0
"38.128.66.45","R_3nUc7WmXEsBQMNa",NA,NA,NA,41.8710021972656,-87.6288986206055,"5f873796-e2eb-255e-2a06-f11b3adde482","SV_0xlqWlOfO10wuYl",0
"86.107.55.14","R_21AmyAhDTjZiIsa",NA,NA,NA,40.7156982421875,-74,"5f873950-0c6c-c982-25da-0c676cca7b9c","SV_0xlqWlOfO10wuYl",0
"216.151.180.33","R_3mfV9zhZ04kFLf2",NA,NA,NA,0,0,"5f873e71-a036-27de-a9c3-084d1714a7f5","SV_0xlqWlOfO10wuYl",0
"142.93.68.234","R_1Qm7qaBXlyZDDd2",NA,NA,NA,40.8363952636719,-74.1402969360352,"5f873e01-9c35-1237-0580-3b7e5c0b9396","SV_0xlqWlOfO10wuYl",0
"209.58.144.55","R_bDRoKExUBDkLVe1",NA,NA,NA,32.7908020019531,-96.8336029052734,"5f873d69-0a4a-a181-7f86-704c3949bc21","SV_0xlqWlOfO10wuYl",0
"156.146.55.108","R_DkLfYhNnYmpzJ29",NA,NA,NA,40.7126007080078,-74.0065994262695,"5f873f57-89ee-63b6-136a-0a7935f86d5e","SV_0xlqWlOfO10wuYl",0
"12.110.80.48","R_2rA4d6BvRaoEWiX",NA,NA,NA,40.7503051757812,-74.0014038085938,"5f8745c3-9d3a-21cf-a411-70dfbebaf804","SV_0xlqWlOfO10wuYl",0
"50.228.255.218","R_32IQ5N9NGWhrwZa",NA,NA,NA,39.94580078125,-74.9041976928711,"5f8748e6-dbb6-10d4-5d22-694c77d57843","SV_0xlqWlOfO10wuYl",0
"195.181.168.36","R_3szbcLQ11NWYHzc",NA,NA,NA,40.7156982421875,-74,"5f873f0c-9099-2520-4f10-201ef9564674","SV_0xlqWlOfO10wuYl",0
"73.101.73.81","R_1IbbcjpphJv354i",NA,NA,NA,40.6831970214844,-76.2113037109375,"5f872dd7-31ca-75e5-4e01-bfe30e09801a","SV_0xlqWlOfO10wuYl",0
"198.96.95.246","R_25z71hpkcvIn7Eh",NA,NA,NA,32.8137054443359,-96.8703994750977,"5f87464b-2ffa-52e9-b2e9-4de14653131e","SV_0xlqWlOfO10wuYl",0
"208.185.129.178","R_3PFuEC2yWCDtUty",NA,NA,NA,40.7546997070312,-73.9614028930664,"5f87569e-e741-91b3-6ddc-ef34995c1453","SV_0xlqWlOfO10wuYl",0
"161.129.70.162","R_umgm2AEWn3WP5cd",NA,NA,NA,33.7485046386719,-84.3871002197266,"5f8747fb-b2d9-6d0f-ae79-1a24fdede970","SV_0xlqWlOfO10wuYl",0
"74.133.87.210","R_3iV9HV7liPbDzZU",NA,NA,NA,37.8249969482422,-87.5654983520508,"5f884daa-0f19-7c1f-9858-ebc8fdca5fc4","SV_0xlqWlOfO10wuYl",0
"107.133.19.152","R_3NQZzlR3gop85ZW",NA,NA,NA,38.6331939697266,-90.2175979614258,"5f884e2d-1dc8-6531-0a4e-892a7b265bf1","SV_0xlqWlOfO10wuYl",0
