,IPAddress,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,LocationLatitude,LocationLongitude,rid,survey.id,location
0,128.252.199.225,R_31odH5TBYdIZHgo,,,,38.6432952880859,-90.2574996948242,,SV_eyxdeXOuISXzakt,"St. Louis,Missouri,United States"
1,128.252.199.225,R_3MtVA4nXhgf6GGW,,,,38.6432952880859,-90.2574996948242,,SV_eyxdeXOuISXzakt,"St. Louis,Missouri,United States"
2,128.252.199.225,R_2Cgj3vgmwI8CgFs,,,,38.6432952880859,-90.2574996948242,,SV_eyxdeXOuISXzakt,"St. Louis,Missouri,United States"
3,99.61.128.208,R_1E6DIq8lksuOGZa,,,,32.750701904296896,-97.20950317382808,5f736e30-c169-dc60-a283-d8b3dc21c8a0,SV_eyxdeXOuISXzakt,"Fort Worth,Texas,United States"
4,174.192.8.192,R_PYD8oH3cLgQPhEl,,,,41.4568023681641,-72.8245010375977,5f736e8a-a6ca-f42b-c9aa-20c8ebf33dbd,SV_eyxdeXOuISXzakt,"Wallingford,Connecticut,United States"
5,66.26.227.250,R_2EvpvY9kS3Piz4F,,,,35.8683929443359,-80.31500244140621,5f736f73-bffa-4e71-7b25-cb329afdfb89,SV_eyxdeXOuISXzakt,"Lexington,North Carolina,United States"
6,209.95.90.214,R_1Qz3oRUkaftFfSK,,,,37.751007080078104,-97.8219985961914,5f736ef7-8213-019f-bb24-7dc67dacaa12,SV_eyxdeXOuISXzakt,"Kansas,United States"
7,75.71.121.167,R_1nNRmqYuktggymJ,,,,38.236602783203104,-104.659301757812,5f737055-8258-a66d-37f8-fa3a5a5731dd,SV_eyxdeXOuISXzakt,"Pueblo,Colorado,United States"
8,66.227.176.58,R_1ouRgYg2cvtpIhk,,,,42.8123016357422,-86.14209747314449,5f736fa9-f675-0e21-3442-064714a67aa0,SV_eyxdeXOuISXzakt,"Holland,Michigan,United States"
9,107.209.70.85,R_cZ6HGFgXwQYTMI1,,,,42.3695068359375,-83.4768981933594,5f736f74-8ace-fb09-2750-64942f6e5219,SV_eyxdeXOuISXzakt,"Plymouth,Michigan,United States"
10,104.12.12.12,R_3M08U3592wGHq6U,,,,29.5554046630859,-81.220703125,5f736ec5-7cfa-6f6e-7abf-fcce66b791b0,SV_eyxdeXOuISXzakt,"Palm Coast,Florida,United States"
11,173.17.92.151,R_3eyvtUezJ6dYwb0,,,,41.5576019287109,-90.5460968017578,5f737118-5eeb-2cee-4265-6eb2a5f20199,SV_eyxdeXOuISXzakt,"Davenport,Iowa,United States"
12,173.93.86.255,R_2VkIpXiOL7yf5Zz,,,,34.1631927490234,-77.87229919433591,5f736fea-f43a-963c-0c30-af59eaaaa2da,SV_eyxdeXOuISXzakt,"Wilmington,North Carolina,United States"
13,68.42.159.126,R_1BVHtMa6eoVc1fD,,,,42.6734008789062,-82.7735977172852,5f73705c-b5c6-d320-0274-ad235b341e89,SV_eyxdeXOuISXzakt,"Chesterfield,Michigan,United States"
14,129.205.124.123,R_3HLj3jcv37QeEOC,,,,6.44740295410156,3.3903045654296897,5f7373c6-26f8-e709-6f88-c378023d3760,SV_eyxdeXOuISXzakt,"Lagos,Lagos,Nigeria"
15,73.145.128.247,R_1Ii0vtsGaEgvihj,,,,42.7068939208984,-84.41380310058591,5f737125-d877-7324-471f-0ec21ac184ca,SV_eyxdeXOuISXzakt,"Meridian charter Township,Michigan,United States"
16,68.35.106.205,R_3iCpQYg6JshDsxZ,,,,34.8305053710938,-87.65599822998051,5f7372bc-e9f4-0e77-9d9a-409c0591aea2,SV_eyxdeXOuISXzakt,"Florence,Alabama,United States"
17,74.90.159.37,R_2rvCWuZrO0tjjyg,,,,40.8822021484375,-73.58599853515621,5f736f8a-0fc1-e893-d60b-95fa68dff6ca,SV_eyxdeXOuISXzakt,"Locust Valley,New York,United States"
18,152.86.148.11,R_2dmWE5Uyo8eFHq6,,,,36.3614959716797,-89.3029022216797,5f736eed-7457-3735-db42-d3b89f0809ed,SV_eyxdeXOuISXzakt,"Hornbeak,Tennessee,United States"
19,97.81.24.74,R_1P0qRqQcqEIGWbk,,,,35.7292022705078,-84.3435974121094,5f737268-2117-33af-5b69-4a75d95f85c9,SV_eyxdeXOuISXzakt,"Loudon,Tennessee,United States"
20,174.105.95.140,R_8joLL5MNWgMoXpT,,,,39.8798065185547,-83.0883026123047,5f7372eb-9eb2-3f3d-a9d3-dc453a5b3d64,SV_eyxdeXOuISXzakt,"Grove City,Ohio,United States"
21,98.166.232.180,R_8jDrvUscT1npt73,,,,36.8531036376953,-76.2193984985352,5f736f03-44ad-8610-fbcf-5d9590561567,SV_eyxdeXOuISXzakt,"Norfolk,Virginia,United States"
22,73.26.177.193,R_2w7tm7AslpT3tPu,,,,35.1369018554688,-106.519897460938,5f73742c-88f3-13d9-9d53-590d228ff712,SV_eyxdeXOuISXzakt,"Albuquerque,New Mexico,United States"
23,96.47.239.216,R_3nrx5uij0ZhmTeT,,,,25.780593872070302,-80.18260192871091,5f737040-cfc0-4e3f-bb5d-9cf72f5ef746,SV_eyxdeXOuISXzakt,"Miami,Florida,United States"
24,68.203.134.226,R_9FsUa8PSNejtHRD,,,,33.003204345703104,-96.5434036254883,5f737372-6c01-243e-1125-b5d3114bd264,SV_eyxdeXOuISXzakt,"Wylie,Texas,United States"
